X Y Z
3.704865e+06 -2.095278e+06 5.303467e+06
3.707919e+06 -2.088288e+06 5.304087e+06
3.710969e+06 -2.081295e+06 5.304701e+06
3.714014e+06 -2.074299e+06 5.305308e+06
3.717054e+06 -2.067301e+06 5.305908e+06
3.720089e+06 -2.060300e+06 5.306501e+06
3.723119e+06 -2.053296e+06 5.307088e+06
3.726145e+06 -2.046290e+06 5.307668e+06
3.729166e+06 -2.039281e+06 5.308241e+06
3.732183e+06 -2.032270e+06 5.308808e+06
3.735194e+06 -2.025256e+06 5.309368e+06
3.738201e+06 -2.018239e+06 5.309921e+06
3.741203e+06 -2.011220e+06 5.310467e+06
3.744200e+06 -2.004198e+06 5.311007e+06
3.747193e+06 -1.997174e+06 5.311539e+06
3.750181e+06 -1.990147e+06 5.312065e+06
3.753164e+06 -1.983118e+06 5.312585e+06
3.756142e+06 -1.976086e+06 5.313098e+06
3.759116e+06 -1.969052e+06 5.313603e+06
3.762084e+06 -1.962015e+06 5.314103e+06
3.765048e+06 -1.954976e+06 5.314595e+06
3.768007e+06 -1.947934e+06 5.315081e+06
3.770962e+06 -1.940890e+06 5.315560e+06
3.773911e+06 -1.933843e+06 5.316032e+06
3.776856e+06 -1.926794e+06 5.316498e+06
3.779796e+06 -1.919742e+06 5.316956e+06
3.782731e+06 -1.912688e+06 5.317408e+06
3.785662e+06 -1.905631e+06 5.317854e+06
3.788587e+06 -1.898572e+06 5.318292e+06
3.791508e+06 -1.891511e+06 5.318724e+06
3.794424e+06 -1.884447e+06 5.319149e+06
3.797335e+06 -1.877381e+06 5.319567e+06
3.800241e+06 -1.870313e+06 5.319979e+06
3.803143e+06 -1.863242e+06 5.320384e+06
3.806039e+06 -1.856168e+06 5.320782e+06
3.808931e+06 -1.849093e+06 5.321173e+06
3.811818e+06 -1.842015e+06 5.321558e+06
3.814700e+06 -1.834934e+06 5.321936e+06
3.817577e+06 -1.827852e+06 5.322307e+06
3.820449e+06 -1.820767e+06 5.322671e+06
3.823317e+06 -1.813679e+06 5.323029e+06
3.826180e+06 -1.806590e+06 5.323379e+06
3.829037e+06 -1.799498e+06 5.323724e+06
3.831890e+06 -1.792403e+06 5.324061e+06
3.834738e+06 -1.785307e+06 5.324392e+06
3.837581e+06 -1.778208e+06 5.324715e+06
3.840420e+06 -1.771107e+06 5.325033e+06
3.843253e+06 -1.764004e+06 5.325343e+06
3.846082e+06 -1.756898e+06 5.325646e+06
3.848905e+06 -1.749791e+06 5.325943e+06
3.851724e+06 -1.742681e+06 5.326233e+06
3.854538e+06 -1.735568e+06 5.326517e+06
3.857347e+06 -1.728454e+06 5.326793e+06
3.860151e+06 -1.721337e+06 5.327063e+06
3.862950e+06 -1.714219e+06 5.327326e+06
3.865744e+06 -1.707098e+06 5.327583e+06
3.868533e+06 -1.699974e+06 5.327832e+06
3.871318e+06 -1.692849e+06 5.328075e+06
3.874097e+06 -1.685722e+06 5.328311e+06
3.876872e+06 -1.678592e+06 5.328540e+06
3.879641e+06 -1.671460e+06 5.328763e+06
3.882406e+06 -1.664327e+06 5.328979e+06
3.885166e+06 -1.657191e+06 5.329188e+06
3.887921e+06 -1.650053e+06 5.329390e+06
3.890670e+06 -1.642912e+06 5.329586e+06
3.893415e+06 -1.635770e+06 5.329775e+06
3.896155e+06 -1.628626e+06 5.329957e+06
3.898890e+06 -1.621479e+06 5.330132e+06
3.901620e+06 -1.614331e+06 5.330300e+06
3.904345e+06 -1.607180e+06 5.330462e+06
3.907066e+06 -1.600028e+06 5.330617e+06
3.909781e+06 -1.592873e+06 5.330765e+06
3.912491e+06 -1.585716e+06 5.330907e+06
3.915196e+06 -1.578558e+06 5.331042e+06
3.917896e+06 -1.571397e+06 5.331170e+06
3.920592e+06 -1.564235e+06 5.331291e+06
3.923282e+06 -1.557070e+06 5.331405e+06
3.925967e+06 -1.549903e+06 5.331513e+06
3.928647e+06 -1.542735e+06 5.331614e+06
3.931323e+06 -1.535564e+06 5.331708e+06
3.933993e+06 -1.528392e+06 5.331795e+06
3.936658e+06 -1.521217e+06 5.331876e+06
3.939319e+06 -1.514041e+06 5.331950e+06
3.941974e+06 -1.506862e+06 5.332017e+06
3.944624e+06 -1.499682e+06 5.332077e+06
3.947269e+06 -1.492500e+06 5.332131e+06
3.949910e+06 -1.485316e+06 5.332178e+06
3.952545e+06 -1.478130e+06 5.332218e+06
3.955175e+06 -1.470942e+06 5.332251e+06
3.957800e+06 -1.463753e+06 5.332278e+06
3.960420e+06 -1.456561e+06 5.332298e+06
3.963035e+06 -1.449368e+06 5.332311e+06
3.965645e+06 -1.442173e+06 5.332317e+06
3.968250e+06 -1.434976e+06 5.332317e+06
3.970850e+06 -1.427777e+06 5.332309e+06
3.973445e+06 -1.420576e+06 5.332295e+06
3.976035e+06 -1.413373e+06 5.332275e+06
3.978620e+06 -1.406169e+06 5.332247e+06
3.981200e+06 -1.398963e+06 5.332213e+06
3.983774e+06 -1.391755e+06 5.332172e+06
3.986344e+06 -1.384546e+06 5.332124e+06
3.988909e+06 -1.377334e+06 5.332069e+06
3.991468e+06 -1.370121e+06 5.332008e+06
3.994022e+06 -1.362906e+06 5.331940e+06
3.996572e+06 -1.355690e+06 5.331865e+06
3.999116e+06 -1.348471e+06 5.331784e+06
4.001655e+06 -1.341251e+06 5.331695e+06
4.004189e+06 -1.334029e+06 5.331600e+06
4.006718e+06 -1.326806e+06 5.331498e+06
4.009242e+06 -1.319581e+06 5.331390e+06
4.011761e+06 -1.312354e+06 5.331274e+06
4.014275e+06 -1.305125e+06 5.331152e+06
4.016783e+06 -1.297895e+06 5.331023e+06
4.019287e+06 -1.290663e+06 5.330888e+06
4.021785e+06 -1.283430e+06 5.330745e+06
4.024278e+06 -1.276195e+06 5.330596e+06
4.026766e+06 -1.268958e+06 5.330440e+06
4.029249e+06 -1.261720e+06 5.330277e+06
4.031727e+06 -1.254480e+06 5.330108e+06
4.034200e+06 -1.247239e+06 5.329932e+06
4.036668e+06 -1.239995e+06 5.329749e+06
4.039130e+06 -1.232751e+06 5.329559e+06
4.041588e+06 -1.225505e+06 5.329363e+06
4.044040e+06 -1.218257e+06 5.329159e+06
4.046487e+06 -1.211007e+06 5.328949e+06
4.048929e+06 -1.203756e+06 5.328733e+06
4.051366e+06 -1.196504e+06 5.328509e+06
4.053797e+06 -1.189250e+06 5.328279e+06
4.056224e+06 -1.181995e+06 5.328042e+06
4.058645e+06 -1.174738e+06 5.327798e+06
4.061061e+06 -1.167479e+06 5.327547e+06
4.063472e+06 -1.160219e+06 5.327290e+06
4.065878e+06 -1.152958e+06 5.327026e+06
4.068279e+06 -1.145695e+06 5.326755e+06
4.070674e+06 -1.138431e+06 5.326478e+06
4.073065e+06 -1.131165e+06 5.326193e+06
4.075450e+06 -1.123898e+06 5.325902e+06
4.077830e+06 -1.116629e+06 5.325605e+06
4.080204e+06 -1.109359e+06 5.325300e+06
4.082574e+06 -1.102088e+06 5.324989e+06
4.084938e+06 -1.094815e+06 5.324671e+06
4.087298e+06 -1.087540e+06 5.324346e+06
4.089652e+06 -1.080265e+06 5.324014e+06
4.092000e+06 -1.072988e+06 5.323676e+06
4.094344e+06 -1.065709e+06 5.323331e+06
4.096682e+06 -1.058430e+06 5.322979e+06
4.099016e+06 -1.051149e+06 5.322620e+06
4.101344e+06 -1.043866e+06 5.322255e+06
4.103666e+06 -1.036582e+06 5.321883e+06
4.105984e+06 -1.029297e+06 5.321504e+06
4.108296e+06 -1.022011e+06 5.321119e+06
4.110603e+06 -1.014723e+06 5.320726e+06
4.112905e+06 -1.007434e+06 5.320327e+06
4.115202e+06 -1.000144e+06 5.319922e+06
4.117493e+06 -9.928524e+05 5.319509e+06
4.119780e+06 -9.855597e+05 5.319090e+06
4.122060e+06 -9.782656e+05 5.318664e+06
4.124336e+06 -9.709703e+05 5.318231e+06
4.126607e+06 -9.636738e+05 5.317792e+06
4.128872e+06 -9.563761e+05 5.317345e+06
4.131132e+06 -9.490771e+05 5.316892e+06
4.133386e+06 -9.417770e+05 5.316433e+06
4.135636e+06 -9.344756e+05 5.315966e+06
4.137880e+06 -9.271730e+05 5.315493e+06
4.140119e+06 -9.198693e+05 5.315013e+06
4.142353e+06 -9.125644e+05 5.314526e+06
4.144581e+06 -9.052583e+05 5.314033e+06
4.146804e+06 -8.979511e+05 5.313533e+06
4.149022e+06 -8.906428e+05 5.313026e+06
4.151235e+06 -8.833333e+05 5.312512e+06
4.153442e+06 -8.760227e+05 5.311992e+06
4.155644e+06 -8.687110e+05 5.311465e+06
4.157841e+06 -8.613981e+05 5.310931e+06
4.160032e+06 -8.540842e+05 5.310390e+06
4.162218e+06 -8.467692e+05 5.309843e+06
4.164399e+06 -8.394531e+05 5.309289e+06
4.166575e+06 -8.321360e+05 5.308728e+06
4.168745e+06 -8.248178e+05 5.308160e+06
4.170910e+06 -8.174985e+05 5.307586e+06
4.173070e+06 -8.101782e+05 5.307005e+06
4.175224e+06 -8.028569e+05 5.306418e+06
4.177373e+06 -7.955345e+05 5.305823e+06
4.179517e+06 -7.882112e+05 5.305222e+06
4.181655e+06 -7.808868e+05 5.304614e+06
4.183788e+06 -7.735614e+05 5.303999e+06
4.185916e+06 -7.662351e+05 5.303378e+06
4.188039e+06 -7.589078e+05 5.302750e+06
4.190156e+06 -7.515795e+05 5.302115e+06
4.192268e+06 -7.442503e+05 5.301474e+06
4.194374e+06 -7.369201e+05 5.300826e+06
4.196475e+06 -7.295890e+05 5.300171e+06
4.198571e+06 -7.222569e+05 5.299509e+06
4.200662e+06 -7.149240e+05 5.298841e+06
4.202747e+06 -7.075901e+05 5.298165e+06
4.204827e+06 -7.002553e+05 5.297484e+06
4.206901e+06 -6.929197e+05 5.296795e+06
4.208970e+06 -6.855831e+05 5.296100e+06
4.211034e+06 -6.782457e+05 5.295398e+06
4.213092e+06 -6.709074e+05 5.294689e+06
4.215145e+06 -6.635683e+05 5.293974e+06
4.217193e+06 -6.562283e+05 5.293252e+06
4.219235e+06 -6.488875e+05 5.292523e+06
4.221272e+06 -6.415459e+05 5.291787e+06
4.223304e+06 -6.342034e+05 5.291045e+06
4.225330e+06 -6.268601e+05 5.290296e+06
4.227351e+06 -6.195161e+05 5.289540e+06
4.229366e+06 -6.121712e+05 5.288778e+06
4.231376e+06 -6.048256e+05 5.288009e+06
4.233381e+06 -5.974792e+05 5.287233e+06
4.235380e+06 -5.901321e+05 5.286451e+06
4.237374e+06 -5.827842e+05 5.285662e+06
4.239363e+06 -5.754355e+05 5.284866e+06
4.241346e+06 -5.680862e+05 5.284063e+06
4.243324e+06 -5.607361e+05 5.283254e+06
4.245296e+06 -5.533853e+05 5.282438e+06
4.247263e+06 -5.460338e+05 5.281615e+06
4.249225e+06 -5.386816e+05 5.280786e+06
4.251181e+06 -5.313287e+05 5.279950e+06
4.253132e+06 -5.239751e+05 5.279107e+06
4.255077e+06 -5.166209e+05 5.278258e+06
4.257017e+06 -5.092660e+05 5.277401e+06
4.258951e+06 -5.019104e+05 5.276539e+06
4.260881e+06 -4.945543e+05 5.275669e+06
4.262804e+06 -4.871975e+05 5.274793e+06
4.264722e+06 -4.798400e+05 5.273910e+06
4.266635e+06 -4.724820e+05 5.273020e+06
4.268543e+06 -4.651234e+05 5.272124e+06
4.270445e+06 -4.577641e+05 5.271221e+06
4.272341e+06 -4.504043e+05 5.270311e+06
4.274232e+06 -4.430439e+05 5.269395e+06
4.276118e+06 -4.356830e+05 5.268472e+06
4.277998e+06 -4.283215e+05 5.267542e+06
4.279873e+06 -4.209595e+05 5.266606e+06
4.281743e+06 -4.135969e+05 5.265663e+06
4.283607e+06 -4.062338e+05 5.264713e+06
4.285465e+06 -3.988702e+05 5.263757e+06
4.287318e+06 -3.915060e+05 5.262794e+06
4.289166e+06 -3.841414e+05 5.261824e+06
4.291008e+06 -3.767763e+05 5.260847e+06
4.292844e+06 -3.694107e+05 5.259864e+06
4.294676e+06 -3.620446e+05 5.258875e+06
4.296501e+06 -3.546781e+05 5.257878e+06
4.298322e+06 -3.473111e+05 5.256875e+06
4.300137e+06 -3.399437e+05 5.255865e+06
4.301946e+06 -3.325759e+05 5.254849e+06
4.303750e+06 -3.252076e+05 5.253826e+06
4.305548e+06 -3.178389e+05 5.252796e+06
4.307341e+06 -3.104698e+05 5.251760e+06
4.309129e+06 -3.031003e+05 5.250717e+06
4.310911e+06 -2.957305e+05 5.249667e+06
4.312687e+06 -2.883602e+05 5.248610e+06
4.314458e+06 -2.809896e+05 5.247547e+06
4.316224e+06 -2.736186e+05 5.246478e+06
4.317984e+06 -2.662473e+05 5.245401e+06
4.319738e+06 -2.588757e+05 5.244318e+06
4.321487e+06 -2.515037e+05 5.243229e+06
4.323231e+06 -2.441314e+05 5.242132e+06
4.324969e+06 -2.367588e+05 5.241029e+06
4.326702e+06 -2.293858e+05 5.239920e+06
4.328429e+06 -2.220126e+05 5.238804e+06
4.330150e+06 -2.146391e+05 5.237681e+06
4.331866e+06 -2.072654e+05 5.236551e+06
4.333577e+06 -1.998914e+05 5.235415e+06
4.335282e+06 -1.925171e+05 5.234272e+06
4.336981e+06 -1.851426e+05 5.233123e+06
4.338675e+06 -1.777678e+05 5.231967e+06
4.340364e+06 -1.703928e+05 5.230804e+06
4.342047e+06 -1.630176e+05 5.229635e+06
4.343724e+06 -1.556422e+05 5.228459e+06
4.345396e+06 -1.482666e+05 5.227276e+06
4.347063e+06 -1.408908e+05 5.226087e+06
4.348723e+06 -1.335148e+05 5.224891e+06
4.350379e+06 -1.261387e+05 5.223689e+06
4.352029e+06 -1.187624e+05 5.222479e+06
4.353673e+06 -1.113859e+05 5.221264e+06
4.355312e+06 -1.040093e+05 5.220041e+06
4.356945e+06 -9.663256e+04 5.218812e+06
4.358573e+06 -8.925571e+04 5.217577e+06
4.360195e+06 -8.187874e+04 5.216335e+06
4.361811e+06 -7.450167e+04 5.215086e+06
4.363422e+06 -6.712450e+04 5.213830e+06
4.365028e+06 -5.974725e+04 5.212568e+06
